name,code,market,amount,cost
招商银行,600036,SH,2200,36.208
江苏银行,600919,SH,,
银行基金,512700,SH,12000,0.918
美的集团,000333,SZ,400,65.380
创业板50,159949,SZ,24000,1.051
沪深300,159919,SZ,5300,4.227
500ETF,510500,SH,1017,5.798
1000ETF,512100,SH,5800,2.566
科创50,588090,SH,8400,1.171
创成长,159967,SZ,4700,0.598
科技50,515750,SH,9000,1.438
芯片基金,159801,SZ,26500,0.821
通信ETF,515880,SH,6300,1.250
人工智能,515980,,5100,1.016
消电ETF国泰,561310,,,
红利低波,512890,SH,15000,1.187
中证红利,515080,SH,5100,1.623
东方财富,300059,SZ,500,18.940
证券ETF,512880,SH,6000,1.098
恒生科技,513130,SH,33000,0.817
紫金矿业,601899,SH,0,28
医药ETF,512010,,,
养殖ETF,159865,SZ,9700,0.773
港股创新药ETF,513780,,,
恒瑞医药,600276,,,
药明康德,603259,,,
科创创新药,589720,,,
